,1.916666667
Hotels,3.279069767
Hotels & Travel,3.303149606
Hunting & Fishing Supplies,4.5
IT Services & Computer Repair,3.765625
Ice Cream & Frozen Yogurt,3.725806452
Imported Food,4
Indian,3.833333333
Indonesian,3.875
Indoor Landscaping,4.5
Insurance,3.583333333
Interior Design,3.53125
Internal Medicine,3.833333333
International Grocery,5
Internet Cafes,3.75
Internet Service Providers,1.954545455
Interval Training Gyms,5
Investing,2.5
Irish,3.333333333
Irrigation,2.5
Italian,3.231578947
Japanese,3.514705882
Jazz & Blues,4
Jet Skis,5
Jewelry,4.12195122
Jewelry Repair,4.444444444
Juice Bars & Smoothies,3.884615385
Junk Removal & Hauling,3.25
Karaoke,3.166666667
Keys & Locksmiths,3.5
Kids Activities,3.833333333
Kitchen & Bath,3.875
Knife Sharpening,4
Knitting Supplies,3.375
Korean,3.571428571
Kosher,3
Lakes,4.5
Landmarks & Historical Buildings,4.333333333
Landscape Architects,2.5
Landscaping,3.3125
Laotian,4
Laser Eye Surgery/Lasik,3.875
Laser Hair Removal,3.333333333
Laser Tag,2.75
Latin American,3.75
Laundromat,4.166666667
Laundry Services,3.5625
Leather Goods,3.5
Lebanese,4
Leisure Centers,4
Libraries,4.076923077
Lice Services,5
Life Coach,3.833333333
Life Insurance,2
Lighting Fixtures & Equipment,3.7
Limos,4
Lingerie,3.916666667
Livestock Feed & Supply,4
Local Flavor,4.211538462
Local Services,3.723004695
Lounges,3.594594595
Luggage,3.5
Mags,3.9
Makeup Artists,4.25
Malaysian,5
Marketing,4.125
Martial Arts,4.444444444
Masonry/Concrete,2.75
Mass Media,3.6
Massage,4.046875
Massage Therapy,4.35
Mattresses,3.166666667
Meat Shops,3.75
Medical Centers,3.379310345
Medical Spas,4.5
Medical Supplies,3.833333333
Medical Transportation,2.5
Meditation Centers,4.5
Mediterranean,3.743589744
Men's Clothing,3.392857143
Men's Hair Salons,3.821428571
Metal Fabricators,4.5
Mexican,3.330357143
Middle Eastern,3.833333333
Mini Golf,4
Mobile Dent Repair,3
Mobile Phone Accessories,1.5
Mobile Phone Repair,4.15
Mobile Phones,2.678571429
Modern European,4
Mongolian,3.166666667
Montessori Schools,5
Moroccan,3.6
Mortgage Brokers,3.653846154
Motorcycle Dealers,3.416666667
Motorcycle Gear,3
Motorcycle Repair,3.625
Motorsport Vehicle Dealers,4.5
Mountain Biking,4.5
Movers,3.547619048
Museums,4.166666667
Music & DVDs,4.058823529
Music & Video,3.9
Music Venues,3.703125
Musical Instrument Services,4.4
Musical Instruments & Teachers,4.0625
Musicians,4.5
Nail Salons,3.494382022
Naturopathic/Holistic,5
Nightlife,3.491428571
Noodles,3.208333333
Notaries,3.083333333
Nurseries & Gardening,3.62
Nutritionists,4
Observatories,4.5
Obstetricians & Gynecologists,3.5
Office Cleaning,4.166666667
Office Equipment,3.388888889
Officiants,4.5
Oil Change Stations,3.444444444
Ophthalmologists,3.166666667
Optometrists,3.611111111
Oral Surgeons,4.115384615
Organic Stores,4.25
Orthodontists,3.866666667
Orthopedists,3
Outdoor Gear,3.733333333
Outlet Stores,4.166666667
Paddleboarding,4.25
Paint & Sip,5
Paint Stores,3.75
Paint-Your-Own Pottery,4.5
Painters,4.25
Pakistani,3.818181818
Parenting Classes,4
Parking,2.75
Parks,4.25
Party & Event Planning,3.862068966
Party Bike Rentals,4.5
Party Bus Rentals,4.125
Party Equipment Rentals,4
Party Supplies,3.555555556
Pasta Shops,4
Pawn Shops,3.666666667
Payroll Services,2.5
Pediatric Dentists,4.107142857
Pediatricians,3.214285714
Performing Arts,4.066666667
Periodontists,3.888888889
Permanent Makeup,5
Persian/Iranian,4
Personal Assistants,3.5
Personal Shopping,4.75
Peruvian,3.9375
Pest Control,2.75
Pet Adoption,3.5
Pet Boarding/Pet Sitting,4.205128205
Pet Groomers,4.054054054
Pet Hospice,5
Pet Photography,5
Pet Services,4.133802817
Pet Stores,3.90625
Pet Training,3.970588235
Pets,4.159292035
Photo Booth Rentals,4.75
Photographers,4.3
Photography Stores & Services,3.264705882
Physical Therapy,3.666666667
Piano Bars,3.5
Piano Stores,4.5
Piercing,4.35
Pilates,4.666666667
Pizza,3.259689922
Playgrounds,4
Plumbing,4.133333333
Plus Size Fashion,3.375
Podiatrists,4.5
Poke,4.5
Pool Halls,3.5
Popcorn Shops,4
Post Offices,3.3
Preschools,4.083333333
Pressure Washers,4.5
Pretzels,3.5
Print Media,4.166666667
Printing Services,3.684210526
Private Tutors,5
Professional Services,3.612903226
Property Management,2.35
Psychics & Astrologers,4.5
Public Services & Government,3.925925926
Pubs,3.597222222
RV Dealers,3.5
RV Repair,2
Races & Competitions,4.5
Radio Stations,4
Rafting/Kayaking,4
Ramen,3.666666667
Real Estate,2.943661972
Real Estate Agents,3.4
Real Estate Services,2.818181818
Recreation Centers,3.5
Recycling Center,3.75
Reflexology,3.666666667
Rehabilitation Center,3
Reiki,4.25
Religious Organizations,4.25
Reptile Shops,5
Resorts,3.666666667
Restaurants,3.434471803
Rock Climbing,3.5
Rolfing,5
Roofing,3
Rugs,3.5
Russian,4.333333333
Salad,3.328571429
Sandwiches,3.375
Saunas,4.5
Screen Printing,5
Screen Printing/T-Shirt Printing,5
Scuba Diving,5
Seafood,3.611111111
Seafood Markets,4.5
Security Services,5
Security Systems,3
Self Storage,3.5
Session Photography,5
Sewing & Alterations,3.525
Shades & Blinds,3.125
Shaved Ice,4.5
Shipping Centers,3.363636364
Shoe Repair,4.3125
Shoe Stores,3.52
Shopping,3.664424514
Shopping Centers,2.666666667
Signmaking,3.625
Skate Shops,4.5
Skating Rinks,3.833333333
Ski & Snowboard Shops,3.375
Skin Care,4
Smokehouse,4
Snow Removal,2.5
Soccer,4.375
Social Clubs,4.333333333
Software Development,5
Soul Food,4.1
Soup,3.233333333
Southern,3.75
Spanish,3.5
Specialty Food,4.109756098
Specialty Schools,4.02173913
Sporting Goods,3.907407407
Sports Bars,3.282258065
Sports Clubs,3.666666667
Sports Medicine,4.125
Sports Wear,3.944444444
Spray Tanning,3.125
Sri Lankan,4
Stadiums & Arenas,4.166666667
Steakhouses,3.411764706
Street Vendors,4.176470588
Summer Camps,3.75
Supper Clubs,4
Sushi Bars,3.5
Swimming Pools,4.25
Swimwear,4.5
Synagogues,3.5
Tacos,3
Tai Chi,5
Taiwanese,3.833333333
Talent Agencies,4.5
Tanning,3
Tanning Beds,2.5
Tapas Bars,4
Tapas/Small Plates,3.772727273
Tattoo,4.5
Tax Services,3.333333333
Taxis,2.714285714
Tea Rooms,4.5
Telecommunications,3
Television Service Providers,1.833333333
Television Stations,1.5
Test Preparation,5
Tex-Mex,2.791666667
Thai,3.517241379
Thrift Stores,3.6
Tiki Bars,3
Tiling,3.75
Tires,3.517241379
Tobacco Shops,3.730769231
Tours,4
Towing,3.846153846
Toy Stores,3.645833333
Traditional Chinese Medicine,4.8
Train Stations,3.5
Trainers,4.138297872
Trampoline Parks,3.5
Transmission Repair,4.3
Transportation,2.833333333
Travel Services,2.833333333
Tree Services,3.666666667
Trinidadian,4.5
Trophy Shops,3.5
Truck Rental,3.25
Tubing,5
Turkish,3.5
University Housing,3.75
Urgent Care,2.75
Used,3.552631579
Used Bookstore,3.5
Used Car Dealers,3.25
Utilities,3.5
Vape Shops,3.857142857
Vegan,3.941176471
Vegetarian,3.724137931
Venezuelan,4.75
Venues & Event Spaces,3.583333333
Veterinarians,4.32
Video Game Stores,4.5
Video/Film Production,2.5
Videographers,3.5
Videos & Video Game Rental,3.454545455
Vietnamese,3.611111111
Vintage & Consignment,3.552631579
Vinyl Records,4.4
Vinyl Siding,4
Watch Repair,3.833333333
Watches,4.214285714
Water Delivery,4
Water Heater Installation/Repair,4.25
Water Purification Services,4
Waterproofing,3.5
Waxing,4.285714286
Web Design,4.3
Wedding Chapels,5
Wedding Planning,4.117647059
Weight Loss Centers,4.125
Wheel & Rim Repair,3.25
Wholesale Stores,4
Wholesalers,4
Window Washing,4.166666667
Windows Installation,3
Windshield Installation & Repair,4.5625
Wine & Spirits,3.901639344
Wine Bars,3.795454545
Wine Tasting Room,4.5
Wine Tours,5
Wineries,4.833333333
Women's Clothing,3.5
Yelp Events,5
Yoga,4.451612903
Zoos,4
